Species,Plot,Subplot,Core,Light_ISF,Light_Cat,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Time,Event
Acer saccharum,8,A,2016,0.061,Low,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,14.0,,-0.2,13.73,12.33,24.5,0.0
Acer saccharum,4,C,2016,0.079,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,14.89,,-0.03,14.04,12.55,59.5,1.0
Acer saccharum,4,A,2017,0.078,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,14.75,,0.09,11.47,11.43,59.5,1.0
Quercus alba,8,A,2016,0.061,Low,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,10.99,26.67,3.51,25.28,13.11,24.5,0.0
Acer saccharum,4,C,2016,0.079,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,13.53,,0.0,11.14,11.39,59.5,1.0
Quercus alba,8,C,2017,0.061,Low,Sterile,Sterile,Sterilized,EMF,Sterile,16.0,0.0,2.92,21.99,17.03,24.5,0.0
Quercus alba,4,C,2017,0.079,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,16.37,18.96,4.45,17.08,23.19,115.5,0.0
Quercus rubra,8,A,2017,0.061,Low,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,19.0,6.15,2.12,26.65,10.9,24.5,0.0
Quercus alba,8,C,2016,0.061,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,5.0,50.0,3.41,25.61,11.34,24.5,0.0
Quercus alba,4,C,2016,0.079,Med,Sterile,Sterile,Sterilized,EMF,Sterile,3.12,3.41,2.88,18.94,18.48,80.5,1.0
Acer saccharum,8,A,2017,0.061,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,16.5,,-0.3,10.67,11.37,24.5,1.0
Prunus serotina,8,A,2016,0.061,Low,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,34.64,,0.51,5.38,6.91,24.5,1.0
Quercus rubra,8,A,2017,0.061,Low,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,15.0,27.78,3.76,19.63,19.96,24.5,0.0
Acer saccharum,4,A,2016,0.078,Med,Sterile,Sterile,Sterilized,AMF,Sterile,7.0,,-0.04,12.11,12.34,80.5,1.0
Prunus serotina,8,C,2016,0.061,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,40.0,,0.54,10.44,13.19,24.5,0.0
Quercus alba,8,A,2016,0.061,Low,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,24.0,48.39,4.65,20.73,18.62,24.5,0.0
Acer saccharum,4,C,2017,0.079,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,18.85,,-0.09,13.46,11.69,63.0,1.0
Acer saccharum,4,C,2016,0.079,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,19.56,,0.26,14.14,11.89,63.0,1.0
Quercus alba,4,A,2017,0.078,Med,Sterile,Sterile,Sterilized,EMF,Sterile,1.12,0.0,2.89,19.59,18.0,80.5,1.0
Quercus alba,8,C,2016,0.061,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,34.15,34.29,4.5,21.43,17.8,24.5,0.0
Quercus rubra,4,C,2017,0.079,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,18.09,31.83,3.14,26.05,12.98,115.5,0.0
Acer saccharum,4,C,2017,0.079,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,18.85,,-0.09,13.46,11.69,63.0,1.0
Prunus serotina,8,A,2017,0.061,Low,Sterile,Sterile,Sterilized,AMF,Sterile,13.52,,0.37,5.48,9.21,24.5,1.0
Quercus rubra,8,A,2017,0.061,Low,Sterile,Sterile,Sterilized,EMF,Sterile,7.0,3.13,2.66,29.05,9.93,24.5,0.0
Acer saccharum,4,A,2016,0.078,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,20.19,,-0.06,13.73,11.64,63.0,1.0
Quercus rubra,8,C,2017,0.061,Low,Sterile,Sterile,Sterilized,EMF,Sterile,31.0,1.64,3.07,29.12,11.58,24.5,0.0
Prunus serotina,4,A,2016,0.078,Med,Sterile,Sterile,Sterilized,AMF,Sterile,13.33,,0.23,5.08,8.93,59.5,1.0
Quercus rubra,8,A,2016,0.061,Low,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,12.0,5.0,3.8,22.54,16.83,24.5,0.0
Quercus rubra,4,C,2016,0.079,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,22.21,27.75,3.49,26.75,13.64,115.5,0.0
Quercus alba,8,A,2016,0.061,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,31.0,4.76,4.63,17.86,24.65,24.5,0.0
Quercus rubra,8,C,2017,0.061,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,74.0,17.65,3.89,23.64,16.51,24.5,0.0
Quercus alba,8,C,2017,0.061,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,26.67,19.23,4.71,17.18,22.65,24.5,0.0
Acer saccharum,8,C,2017,0.061,Low,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,18.89,,-0.69,13.64,12.17,24.5,1.0
Acer saccharum,4,A,2017,0.078,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,20.19,,-0.06,13.73,11.64,63.0,1.0
Quercus alba,4,C,2017,0.079,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,26.6,44.22,4.88,20.04,20.29,115.5,0.0
Acer saccharum,4,C,2017,0.079,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,13.53,,0.0,11.14,11.39,59.5,1.0
Acer saccharum,8,C,2016,0.061,Low,Sterile,Sterile,Sterilized,AMF,Sterile,2.0,,-0.39,12.06,20.0,24.5,0.0
Quercus alba,4,C,2016,0.079,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,26.86,11.6,4.74,17.42,22.5,73.5,1.0
Acer saccharum,8,B,2017,0.066,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,12.86,,-0.02,11.17,11.24,24.5,1.0
Quercus rubra,4,A,2017,0.078,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,18.21,26.39,3.43,26.87,13.68,115.5,0.0
Quercus alba,4,C,2017,0.079,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,16.5,20.41,4.8,18.2,21.76,115.5,0.0
Quercus alba,8,E,2017,0.066,Low,Sterile,Sterile,Sterilized,EMF,Sterile,17.0,5.26,2.95,18.6,20.58,24.5,0.0
Quercus rubra,4,A,2017,0.078,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,18.4,34.78,3.14,26.31,12.9,115.5,0.0
Quercus alba,8,D,2017,0.063,Low,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,18.0,35.06,4.87,19.51,20.23,24.5,0.0
Quercus rubra,8,B,2017,0.066,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,7.0,2.5,2.53,29.08,9.48,24.5,0.0
Acer saccharum,8,D,2017,0.063,Low,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,14.78,,-0.13,10.82,11.64,24.5,1.0
Prunus serotina,8,B,2017,0.066,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,23.18,,0.3,5.13,6.8,24.5,1.0
Quercus alba,8,D,2017,0.063,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,28.0,0.0,4.43,23.56,16.3,24.5,0.0
Quercus rubra,4,E,2016,0.071,Low,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,14.38,33.76,2.99,26.2,12.92,115.5,0.0
Acer saccharum,8,B,2017,0.066,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,14.3,,-0.09,13.65,12.5,24.5,1.0
Quercus alba,4,C,2017,0.079,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,16.37,18.96,4.45,17.08,23.19,115.5,0.0
Prunus serotina,8,B,2017,0.066,Low,Acer saccharum,Non-Sterile,Heterospecific,AMF,AMF,38.77,,0.7,6.94,11.21,24.5,1.0
Quercus alba,8,D,2017,0.063,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,26.0,35.71,4.41,26.66,14.39,24.5,0.0
Acer saccharum,8,D,2016,0.063,Low,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,12.47,,-0.22,10.62,11.38,24.5,1.0
Quercus alba,4,A,2017,0.078,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,17.49,23.82,4.75,18.57,22.08,115.5,0.0
Acer saccharum,4,A,2017,0.078,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,15.86,,-0.2,13.81,11.98,63.0,1.0
Acer saccharum,4,E,2017,0.071,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,14.95,,0.04,13.79,12.31,59.5,1.0
Prunus serotina,4,E,2016,0.071,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,22.82,,0.3,5.1,6.86,59.5,1.0
Prunus serotina,4,C,2017,0.079,Med,Sterile,Sterile,Sterilized,AMF,Sterile,10.44,,0.07,7.15,11.6,59.5,1.0
Quercus rubra,4,C,2017,0.079,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,20.14,49.09,3.79,26.91,14.62,115.5,0.0
Quercus alba,8,B,2017,0.066,Low,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,14.0,43.1,3.52,25.93,10.1,24.5,0.0
Acer saccharum,8,D,2017,0.063,Low,Sterile,Sterile,Sterilized,AMF,Sterile,2.0,,-0.17,11.37,11.69,24.5,0.0
Prunus serotina,8,D,2017,0.063,Low,Sterile,Sterile,Sterilized,AMF,Sterile,24.0,,0.32,4.45,7.0,24.5,0.0
Quercus alba,4,B,2017,0.076,Med,Sterile,Sterile,Sterilized,EMF,Sterile,3.2,1.96,2.84,19.45,17.94,80.5,1.0
Quercus alba,8,B,2016,0.066,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,26.0,46.77,4.52,21.77,17.79,24.5,0.0
Quercus alba,8,D,2016,0.063,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,4.0,77.78,4.52,21.31,18.25,24.5,0.0
Quercus rubra,4,D,2016,0.073,Low,Sterile,Sterile,Sterilized,EMF,Sterile,10.34,4.8,2.71,26.16,11.4,115.5,0.0
Prunus serotina,8,B,2017,0.066,Low,Prunus serotina,Non-Sterile,Conspecific,AMF,AMF,32.37,,0.37,5.35,7.05,24.5,1.0
Quercus rubra,8,D,2016,0.063,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,15.0,33.33,3.69,20.13,18.89,24.5,0.0
Quercus rubra,4,E,2016,0.071,Low,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,14.97,31.03,3.72,20.72,18.53,115.5,0.0
Prunus serotina,8,D,2017,0.063,Low,Prunus serotina,Non-Sterile,Conspecific,AMF,AMF,32.18,,0.39,5.18,6.74,24.5,1.0
Quercus rubra,4,D,2016,0.073,Low,Sterile,Sterile,Sterilized,EMF,Sterile,10.34,4.8,2.71,26.16,11.4,73.5,1.0
Quercus rubra,4,B,2017,0.076,Med,Sterile,Sterile,Sterilized,EMF,Sterile,12.51,3.48,2.77,25.43,11.4,115.5,0.0
Quercus rubra,8,B,2017,0.066,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,15.0,4.76,2.68,27.57,10.64,24.5,0.0
Prunus serotina,4,B,2016,0.076,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,21.74,,0.32,5.1,6.85,59.5,1.0
Prunus serotina,8,B,2016,0.066,Low,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,45.0,,0.65,8.08,11.71,24.5,0.0
Acer saccharum,4,D,2017,0.073,Low,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,13.75,,-0.09,10.94,11.53,63.0,1.0
Acer saccharum,9,C,2016,0.077,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,22.36,,0.3,13.4,11.79,24.5,1.0
Quercus alba,4,B,2016,0.076,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,15.53,37.83,4.83,21.07,18.06,115.5,0.0
Quercus alba,4,B,2016,0.076,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,16.26,29.55,4.42,18.59,22.69,70.0,1.0
Quercus alba,9,C,2017,0.077,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,9.0,18.18,4.98,21.17,18.05,24.5,0.0
Quercus alba,4,D,2016,0.073,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,18.88,43.68,4.61,21.36,18.14,115.5,0.0
Quercus rubra,9,C,2017,0.077,Med,Sterile,Sterile,Sterilized,EMF,Sterile,15.0,0.0,2.83,25.71,11.33,24.5,0.0
Quercus alba,9,A,2017,0.065,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,23.0,35.0,4.91,26.98,15.02,24.5,0.0
Quercus alba,9,C,2016,0.077,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,5.0,14.29,4.82,19.13,21.9,24.5,0.0
Quercus alba,9,A,2017,0.065,Low,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,9.0,22.73,4.85,20.68,18.87,24.5,0.0
Quercus rubra,9,C,2017,0.077,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,17.0,80.0,3.44,20.09,20.18,24.5,0.0
Quercus rubra,9,C,2017,0.077,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,10.0,27.27,2.41,27.62,6.05,24.5,0.0
Quercus alba,4,D,2017,0.073,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,18.85,38.42,3.78,19.23,20.26,115.5,0.0
Acer saccharum,9,C,2016,0.077,Med,Sterile,Sterile,Sterilized,AMF,Sterile,9.0,,-0.04,12.65,13.29,24.5,0.0
Quercus alba,9,A,2017,0.065,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,15.0,35.71,3.71,25.81,13.15,24.5,0.0
Quercus alba,9,C,2017,0.077,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,0.0,42.86,5.18,22.84,16.92,24.5,0.0
Prunus serotina,9,C,2016,0.077,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,32.39,,0.73,7.75,11.34,24.5,1.0
Acer saccharum,9,C,2016,0.077,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,20.0,,0.28,16.82,12.58,24.5,0.0
Acer saccharum,4,D,2017,0.073,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,15.06,,-0.04,13.53,12.37,59.5,1.0
Quercus alba,9,C,2016,0.077,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,15.0,20.0,4.5,17.45,23.27,24.5,0.0
Prunus serotina,9,E,2017,0.071,Low,Sterile,Sterile,Sterilized,AMF,Sterile,5.0,,0.27,5.45,8.46,24.5,0.0
Quercus rubra,4,B,2017,0.076,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,20.3,28.61,3.74,23.02,16.68,115.5,0.0
Quercus alba,9,B,2017,0.074,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,0.0,40.0,4.47,22.23,17.59,24.5,0.0
Quercus alba,9,B,2017,0.074,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,21.0,62.75,3.67,17.1,21.81,24.5,0.0
Quercus alba,4,B,2017,0.076,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,15.53,37.83,4.83,21.07,18.06,115.5,0.0
Quercus alba,9,B,2016,0.074,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,5.0,85.71,4.58,21.18,18.34,24.5,0.0
Quercus alba,9,D,2017,0.073,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,13.0,32.56,3.7,19.76,19.15,24.5,0.0
Quercus rubra,4,B,2017,0.076,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,20.3,28.61,3.74,23.02,16.68,115.5,0.0
Quercus rubra,9,B,2017,0.074,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,11.0,8.33,2.63,23.74,12.23,24.5,0.0
Quercus rubra,9,D,2017,0.073,Low,Sterile,Sterile,Sterilized,EMF,Sterile,8.0,0.0,3.29,22.48,15.96,24.5,0.0
Acer saccharum,4,D,2016,0.073,Low,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,12.45,,-0.23,10.93,11.4,63.0,1.0
Quercus alba,9,D,2017,0.073,Low,Sterile,Sterile,Sterilized,EMF,Sterile,3.0,0.0,3.27,18.59,22.02,24.5,0.0
Acer saccharum,4,D,2017,0.073,Low,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,12.45,,-0.23,10.93,11.4,63.0,1.0
Acer saccharum,9,B,2016,0.074,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,18.0,,0.1,11.73,11.96,24.5,0.0
Quercus alba,9,D,2016,0.073,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,14.06,29.02,4.68,20.22,19.67,24.5,1.0
Quercus alba,4,B,2017,0.076,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,19.02,36.02,3.84,18.67,21.75,115.5,0.0
Quercus alba,9,D,2017,0.073,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,0.0,17.24,3.87,21.52,17.49,24.5,0.0
Quercus rubra,9,B,2017,0.074,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,11.0,11.43,2.75,27.82,9.55,24.5,0.0
Acer saccharum,9,D,2016,0.073,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,15.06,,-0.04,13.53,12.37,24.5,1.0
Quercus rubra,9,D,2016,0.073,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,13.0,14.89,3.63,26.1,14.58,24.5,0.0
Quercus alba,4,B,2017,0.076,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,19.02,36.02,3.84,18.67,21.75,115.5,0.0
Acer saccharum,4,B,2017,0.076,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,14.49,,0.0,10.39,10.83,59.5,1.0
Prunus serotina,9,D,2017,0.073,Low,Sterile,Sterile,Sterilized,AMF,Sterile,0.0,,0.35,9.29,10.64,24.5,0.0
Quercus rubra,9,D,2017,0.073,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,7.0,0.0,2.63,24.51,11.68,24.5,0.0
Acer saccharum,9,B,2016,0.074,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,0.0,,-0.08,10.03,10.67,24.5,0.0
Acer saccharum,4,D,2017,0.073,Low,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,13.75,,-0.09,10.94,11.53,63.0,1.0
Acer saccharum,9,B,2016,0.074,Low,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,14.92,,-0.07,11.05,11.54,24.5,1.0
Quercus alba,9,D,2017,0.073,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,2.0,62.5,4.46,21.62,17.55,24.5,0.0
Quercus rubra,9,B,2017,0.074,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,17.0,11.9,2.27,16.14,12.51,24.5,0.0
Quercus rubra,4,D,2017,0.073,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,18.02,10.99,2.52,24.51,11.5,63.0,1.0
Quercus rubra,9,D,2017,0.073,Low,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,42.0,72.0,2.5,28.49,9.68,24.5,0.0
Quercus alba,4,D,2016,0.073,Low,Sterile,Sterile,Sterilized,EMF,Sterile,5.18,2.34,2.83,19.23,18.12,115.5,0.0
Quercus rubra,9,D,2016,0.073,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,29.0,20.51,2.7,26.54,11.09,24.5,0.0
Quercus rubra,4,D,2017,0.073,Low,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,16.23,42.06,2.74,25.89,11.57,115.5,0.0
Quercus alba,4,D,2017,0.073,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,18.85,38.42,3.78,19.23,20.26,115.5,0.0
Quercus rubra,9,D,2017,0.073,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,12.0,31.15,3.43,27.63,13.45,24.5,0.0
Quercus rubra,9,B,2017,0.074,Low,Sterile,Sterile,Sterilized,EMF,Sterile,6.0,8.33,3.24,24.97,13.98,24.5,0.0
Acer saccharum,9,D,2017,0.073,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,12.63,,-0.04,10.98,11.22,24.5,1.0
Quercus alba,10,A,2017,0.051,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,31.0,33.33,3.62,19.47,19.18,24.5,0.0
Acer saccharum,4,D,2017,0.073,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,15.06,,-0.04,13.53,12.37,59.5,1.0
Quercus alba,5,A,2017,0.086,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,26.42,37.3,4.9,19.18,21.65,73.5,1.0
Quercus rubra,10,A,2017,0.051,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,10.0,38.6,3.31,25.79,14.86,24.5,0.0
Quercus alba,10,A,2017,0.051,Low,Sterile,Sterile,Sterilized,EMF,Sterile,12.0,4.55,1.97,17.37,19.22,24.5,0.0
Quercus rubra,5,A,2017,0.086,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,23.14,51.73,3.81,26.81,14.69,115.5,0.0
Prunus serotina,10,C,2017,0.075,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,13.0,,0.64,6.87,10.99,24.5,0.0
Quercus alba,5,C,2016,0.098,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,20.63,25.93,4.99,19.06,22.55,115.5,0.0
Quercus alba,5,C,2017,0.098,Med,Sterile,Sterile,Sterilized,EMF,Sterile,11.42,13.61,3.75,18.84,21.64,115.5,0.0
Quercus rubra,5,C,2017,0.098,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,19.7,21.83,3.5,26.77,14.38,66.5,1.0
Acer saccharum,10,C,2017,0.075,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,17.0,,0.04,9.43,9.06,24.5,0.0
Acer saccharum,5,A,2016,0.086,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,17.06,,-0.01,13.73,12.05,63.0,1.0
Quercus alba,10,C,2017,0.075,Low,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,14.0,44.68,4.85,24.97,15.69,24.5,0.0
Quercus rubra,10,A,2017,0.051,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,12.0,16.67,2.46,21.0,12.53,24.5,0.0
Quercus alba,5,C,2017,0.098,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,17.66,34.38,4.15,19.17,22.01,115.5,0.0
Quercus alba,5,C,2016,0.098,Med,Sterile,Sterile,Sterilized,EMF,Sterile,11.42,13.61,3.75,18.84,21.64,80.5,1.0
Acer saccharum,5,A,2016,0.086,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,15.37,,-0.03,13.92,12.05,63.0,1.0
Quercus rubra,10,C,2017,0.075,Low,Sterile,Sterile,Sterilized,EMF,Sterile,11.0,0.0,2.76,28.24,9.91,24.5,0.0
Quercus rubra,5,A,2017,0.086,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,22.35,28.34,3.33,25.06,15.0,115.5,0.0
Acer saccharum,10,C,2016,0.075,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,0.0,,-0.23,10.67,11.69,24.5,0.0
Prunus serotina,10,A,2016,0.051,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,22.0,,0.17,4.84,4.7,24.5,0.0
Acer saccharum,10,A,2016,0.051,Low,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,16.58,,-0.23,9.41,9.81,24.5,1.0
Acer saccharum,10,A,2017,0.051,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,1.23,,0.13,11.46,11.47,24.5,0.0
Quercus rubra,5,C,2017,0.098,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,29.36,40.36,3.82,26.68,14.74,115.5,0.0
Quercus alba,5,A,2017,0.086,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,24.89,38.65,5.19,19.47,20.84,70.0,1.0
Quercus alba,5,A,2017,0.086,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,18.23,22.62,4.96,18.6,22.13,115.5,0.0
Quercus rubra,5,C,2016,0.098,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,19.03,28.02,3.69,20.43,18.5,115.5,0.0
Quercus rubra,5,C,2016,0.098,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,19.7,21.83,3.5,26.77,14.38,115.5,0.0
Prunus serotina,10,A,2016,0.051,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,9.0,,-0.09,4.6,7.26,24.5,0.0
Acer saccharum,5,A,2017,0.086,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,18.1,,0.48,13.62,12.36,63.0,1.0
Prunus serotina,10,C,2017,0.075,Low,Sterile,Sterile,Sterilized,AMF,Sterile,4.0,,0.0,4.63,8.32,24.5,0.0
Quercus alba,5,C,2017,0.098,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,12.77,22.8,4.66,17.64,23.94,115.5,0.0
Quercus rubra,10,A,2016,0.051,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,8.0,0.0,3.26,18.85,17.53,24.5,0.0
Quercus rubra,10,C,2016,0.075,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,17.0,65.63,3.62,20.83,17.83,24.5,0.0
Prunus serotina,10,C,2017,0.075,Low,Sterile,Sterile,Sterilized,AMF,Sterile,15.0,,0.27,5.06,8.07,24.5,0.0
Quercus rubra,5,A,2017,0.086,Med,Sterile,Sterile,Sterilized,EMF,Sterile,6.48,10.73,3.46,24.52,15.13,115.5,0.0
Quercus alba,10,A,2016,0.051,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,47.0,71.43,4.59,22.65,16.69,24.5,0.0
Quercus rubra,10,C,2016,0.075,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,21.0,44.9,3.41,31.66,13.97,24.5,0.0
Quercus rubra,5,C,2016,0.098,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,29.36,40.36,3.82,26.68,14.74,115.5,0.0
Quercus alba,5,C,2017,0.098,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,17.66,34.38,4.15,19.17,22.01,115.5,0.0
Quercus rubra,10,A,2016,0.051,Low,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,21.0,54.55,3.7,29.14,14.24,24.5,0.0
Quercus rubra,10,A,2017,0.051,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,14.0,8.89,2.96,25.54,13.33,24.5,0.0
Quercus rubra,10,C,2017,0.075,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,75.0,36.47,3.62,25.06,15.15,24.5,0.0
