Species,Plot,Subplot,Core,Light_ISF,Light_Cat,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Time,Event
Prunus serotina,17,C,2017,0.122,High,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,54.36,,1.06,8.6,11.99,59.5,1.0
Quercus alba,3,C,2017,0.103,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,13.9,21.05,4.71,17.55,24.28,52.5,1.0
Quercus rubra,17,D,2017,0.118,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,18.02,32.03,3.59,23.47,16.34,115.5,0.0
Quercus alba,17,D,2017,0.118,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,22.62,27.21,5.22,18.79,24.0,115.5,0.0
Quercus rubra,17,D,2017,0.118,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,20.73,36.57,4.08,25.44,15.57,115.5,0.0
Quercus alba,3,B,2017,0.082,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,23.53,37.65,5.01,19.39,20.67,52.5,1.0
Quercus alba,17,B,2017,0.111,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,23.12,22.48,5.11,18.4,22.88,73.5,1.0
Quercus rubra,17,B,2017,0.111,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,17.78,49.61,3.97,21.92,17.54,73.5,1.0
Acer saccharum,4,C,2016,0.079,Med,Sterile,Sterile,Sterilized,AMF,Sterile,9.58,,-0.04,12.96,12.45,52.5,1.0
Quercus rubra,17,E,2017,0.094,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,23.08,25.11,3.65,25.91,14.77,115.5,0.0
Quercus alba,17,E,2017,0.094,Med,Sterile,Sterile,Sterilized,EMF,Sterile,7.91,7.01,3.44,19.44,19.38,115.5,0.0
Acer saccharum,4,C,2017,0.079,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,22.78,,-0.65,14.27,12.12,52.5,1.0
Quercus rubra,17,D,2017,0.118,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,35.35,31.91,3.96,25.79,15.36,115.5,0.0
Acer saccharum,4,C,2016,0.079,Med,Sterile,Sterile,Sterilized,AMF,Sterile,9.58,,-0.04,12.96,12.45,52.5,1.0
Acer saccharum,4,C,2017,0.079,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,22.78,,-0.65,14.27,12.12,52.5,1.0
Acer saccharum,4,D,2017,0.073,Low,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,22.62,,-0.71,13.98,11.83,52.5,1.0
Quercus rubra,17,B,2017,0.111,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,33.04,31.93,3.87,25.86,15.22,115.5,0.0
Acer saccharum,4,B,2017,0.076,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,21.85,,-0.66,14.09,11.88,52.5,1.0
Acer saccharum,4,B,2016,0.076,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,21.85,,-0.66,14.09,11.88,52.5,1.0
Acer saccharum,5,A,2017,0.086,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,21.35,,-0.58,14.11,12.2,52.5,1.0
Acer saccharum,5,A,2016,0.086,Med,Sterile,Sterile,Sterilized,AMF,Sterile,9.09,,0.06,12.41,12.37,52.5,1.0
Acer saccharum,5,C,2016,0.098,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,22.46,,-0.68,13.97,12.23,52.5,1.0
Acer saccharum,5,C,2017,0.098,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,22.46,,-0.68,13.97,12.23,52.5,1.0
Acer saccharum,5,B,2016,0.091,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,19.97,,-0.49,13.95,12.21,52.5,1.0
Quercus alba,17,B,2017,0.111,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,11.41,25.02,4.83,18.29,23.49,115.5,0.0
Acer saccharum,5,B,2016,0.091,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,19.97,,-0.49,13.95,12.21,52.5,1.0
Acer saccharum,5,D,2017,0.103,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,22.16,,-0.64,13.88,12.13,52.5,1.0
Acer saccharum,6,C,2016,0.087,Med,Sterile,Sterile,Sterilized,AMF,Sterile,8.7,,0.05,12.43,12.39,52.5,1.0
Acer saccharum,6,C,2017,0.087,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,20.69,,-0.57,14.06,12.3,52.5,1.0
